,ARI,Coleman-Liau,DaleChallIndex,FleschReadingEase,GunningFogIndex,Kincaid,LIX,RIX,SMOGIndex,article,auxverb,characters,characters_per_word,complex_words,complex_words_dc,conjunction,interrogative,long_words,nominalization,paragraphs,preposition,pronoun,sentences,sentences_per_paragraph,subordination,syll_per_word,syllables,tobeverb,type_token_ratio,words,words_per_sentence,wordtypes
../autoCleanTxt/0_cancer_immunotherapy2.txt,14.805855267800432,15.083639080504788,13.881058579728554,35.91261837555575,17.889436172464894,13.393366499658928,56.97337285065745,7.509009009009009,15.214302648501436,27,55,25258,5.4956483899042645,1104,2683,0,2,1667,119,1,12,30,222,222.0,7,1.7719756309834638,8144,175,0.2704525674499565,4596,20.7027027027027,1243
../autoCleanTxt/2_cancer_immunotherapy2.txt,9.184345276178288,11.339604072936663,12.506932586905526,58.91287294732355,11.662209426316913,8.637468010236727,42.591224141608016,4.069444444444445,10.984359711335657,15,19,5172,4.963531669865643,153,538,0,7,293,24,1,2,10,72,72.0,3,1.5748560460652592,1641,40,0.33685220729366605,1042,14.472222222222221,351
../autoCleanTxt/3_cancer_immunotherapy2.txt,18.463346317601236,13.946510053356285,12.9259180269952,38.9230138599511,18.565486004167045,15.427011504665277,59.66672705861038,8.894736842105264,15.052516662288289,0,8,3035,5.223752151462995,92,286,0,0,169,21,1,0,3,19,19.0,0,1.6179001721170396,940,16,0.46987951807228917,581,30.57894736842105,273
../autoCleanTxt/4_cancer_immunotherapy2.txt,9.664403208627348,10.210983051158301,11.304842790573826,64.17314671814675,10.96722140860072,8.745898016242844,38.80801491146319,3.7413793103448274,10.155899422974315,7,24,4875,4.705598455598456,99,445,0,6,217,17,1,3,14,58,58.0,1,1.472007722007722,1525,43,0.3407335907335907,1036,17.862068965517242,353
../autoCleanTxt/8_cancer_immunotherapy2.txt,13.88413455414969,13.785330537471616,13.414216539898828,41.77705189671126,16.71432656837653,12.641366208860536,55.86605866166805,7.317460317460317,14.443442705426586,10,16,6964,5.271763815291446,275,731,0,0,461,21,1,4,10,63,63.0,0,1.6994700984102953,2245,55,0.4012112036336109,1321,20.96825396825397,530
../autoCleanTxt/9_cancer_immunotherapy2.txt,16.508205056895868,13.8671114993395,13.547710475329673,37.16156909777749,19.316767480127005,14.67462768546201,59.256251593316186,8.68421052631579,16.158947326319158,2,6,7926,5.235138705416116,329,824,1,0,495,61,1,12,9,57,57.0,1,1.6869220607661823,2554,37,0.3903566710700132,1514,26.56140350877193,591
../autoCleanTxt/10_cancer_immunotherapy2.txt,14.28100105374078,13.759218310151038,13.391433361433087,43.90365489989466,18.257716894977168,12.57621952932912,56.11145064980681,7.492307692307692,15.489995996796797,34,24,14967,5.257112750263436,676,1563,0,2,974,80,1,17,6,130,130.0,5,1.6631541974007726,4735,109,0.3256059009483667,2847,21.9,927
../autoCleanTxt/11_cancer_immunotherapy2.txt,7.962643417694345,9.594095359039194,11.163861534241349,69.97383512630302,10.11646113112134,7.207051499177062,35.531355103403854,3.0754716981132075,9.812862418955973,3,11,3683,4.6561314791403285,82,340,0,5,163,9,1,2,14,53,53.0,1,1.438685208596713,1138,27,0.42351453855878635,791,14.924528301886792,335
../autoCleanTxt/12_cancer_immunotherapy2.txt,6.132233981693364,7.503270074275367,9.763363958810068,79.9038329519451,7.911975591151793,5.723089244851259,26.84515636918383,1.7894736842105263,7.784844495080824,1,19,2379,4.309782608695652,29,189,0,3,68,5,1,2,14,38,38.0,2,1.326086956521739,732,13,0.4492753623188406,552,14.526315789473685,248
../autoCleanTxt/14_cancer_immunotherapy2.txt,13.372823529411768,13.46241377254902,12.791026274509806,46.95370588235297,14.905098039215687,11.7781568627451,50.98823529411764,6.24,13.158740079360236,2,7,2664,5.223529411764706,86,263,0,0,156,10,1,5,1,25,25.0,1,1.6450980392156862,839,18,0.44509803921568625,510,20.4,227
../autoCleanTxt/15_cancer_immunotherapy2.txt,7.530959595959597,9.091761851851853,10.912352929292929,67.56831060606062,9.845723905723908,7.524058922558922,34.71531986531986,2.95,9.59545297913646,1,7,1358,4.572390572390573,29,123,1,1,59,4,1,1,8,20,20.0,0,1.468013468013468,436,12,0.48148148148148145,297,14.85,143
../autoCleanTxt/16_cancer_immunotherapy2.txt,12.116576802507836,12.679832709090913,12.874116927899689,49.763909090909095,14.204388714733543,11.029824451410658,47.692789968652036,5.448275862068965,12.702470357310181,3,3,2810,5.109090909090909,91,289,0,0,158,4,1,2,4,29,29.0,1,1.6290909090909091,896,21,0.42727272727272725,550,18.96551724137931,235
../autoCleanTxt/17_cancer_immunotherapy2.txt,8.658884640957446,9.751260210937502,11.396229898049647,68.96743683510641,10.754920212765958,7.699172207446811,38.21542553191489,3.574468085106383,10.19041915743265,4,13,3574,4.653645833333333,81,338,2,3,168,12,1,2,12,47,47.0,0,1.43359375,1101,29,0.3307291666666667,768,16.340425531914892,254
../autoCleanTxt/18_cancer_immunotherapy2.txt,11.539273903666427,13.28479358878505,12.680025017972682,51.36672537742635,13.313587347232207,10.184205607476638,47.769949676491734,5.153846153846154,12.114654303753,3,11,2248,5.252336448598131,72,223,0,2,134,9,1,2,1,26,26.0,1,1.6401869158878504,702,12,0.5373831775700935,428,16.46153846153846,230
../autoCleanTxt/19_cancer_immunotherapy2.txt,12.462393822393828,11.992781133848133,12.014251866151866,55.516911196911224,13.856885456885458,10.73281853281853,47.76962676962677,5.621621621621622,12.270703638125099,8,8,3859,4.966537966537967,106,361,1,7,208,12,1,1,2,37,37.0,1,1.5366795366795367,1194,28,0.4144144144144144,777,21.0,322
../autoCleanTxt/20_cancer_immunotherapy2.txt,15.906409266409263,13.049288521783183,12.910606421314931,43.98776061776063,16.95193187108081,13.750899531750601,53.22076179522988,7.081081081081081,14.21051629835467,8,3,5029,5.095238095238095,155,497,0,1,262,6,1,2,2,37,37.0,1,1.6048632218844985,1584,31,0.39311043566362713,987,26.675675675675677,388
../autoCleanTxt/21_cancer_immunotherapy2.txt,14.279611650485442,14.48366984142395,13.345315016181232,43.28328155339806,15.230291262135921,12.339792880258901,51.34433656957929,6.333333333333333,13.392304845413264,2,2,1667,5.394822006472492,54,170,0,0,95,9,1,1,0,15,15.0,0,1.686084142394822,521,7,0.5307443365695793,309,20.6,164
../autoCleanTxt/22_cancer_immunotherapy2.txt,13.581126984126982,11.002610837566138,11.469763915343917,56.32652380952384,15.434497354497353,11.663291005291004,49.697354497354496,6.173333333333333,13.059821071967434,4,21,8993,4.758201058201058,253,788,6,0,463,32,1,15,11,75,75.0,5,1.4767195767195767,2791,56,0.3962962962962963,1890,25.2,749
../autoCleanTxt/25_cancer_immunotherapy2.txt,10.708053270903534,9.837366131787554,11.196289121493052,67.40136690168295,12.853898819655848,9.059713457765326,44.24334792111742,4.8796680497925315,11.386414621724166,23,55,23215,4.600673801030519,565,2084,13,4,1176,54,1,39,44,241,241.0,10,1.3969480776852954,7049,129,0.3103448275862069,5046,20.937759336099585,1566
../autoCleanTxt/26_cancer_immunotherapy2.txt,10.539423803691257,11.03598575013348,11.805802567967925,56.53157079970272,12.299716298692463,9.93612622091015,41.480737623399605,4.245098039215686,11.260465732490333,3,40,9062,4.8382274426054455,232,861,4,2,433,26,1,5,24,102,102.0,1,1.5563267485317671,2915,70,0.2717565403096636,1873,18.362745098039216,509
../autoCleanTxt/27_cancer_immunotherapy2.txt,12.053061259411365,11.874731406570842,12.554178165639973,63.942449093086935,11.566358658453115,9.381655544147847,42.8789356605065,4.583333333333333,10.245688373094719,2,9,2413,4.95482546201232,42,244,0,0,110,3,1,2,1,24,24.0,0,1.4455852156057496,704,8,0.5092402464065708,487,20.291666666666668,248
../autoCleanTxt/28_cancer_immunotherapy2.txt,11.332843477896851,9.27009859075687,10.853635281312792,67.84482988320498,14.126963328868051,9.591692795545882,44.49356371399866,4.9375,12.16003548028063,9,29,6688,4.479571332886805,179,573,5,5,316,19,1,5,22,64,64.0,4,1.363027461486939,2035,42,0.39517749497655724,1493,23.328125,590
../autoCleanTxt/32_cancer_immunotherapy2.txt,11.5916587427364,10.887202917591129,11.828210808240888,61.91564368726891,13.864997358689912,9.848604860010564,46.17860538827259,5.288888888888889,12.273618495495704,8,21,9045,4.7781299524564185,258,857,8,3,476,21,1,10,20,90,90.0,3,1.4606444796619122,2765,55,0.3998943475964078,1893,21.033333333333335,757
../autoCleanTxt/33_cancer_immunotherapy2.txt,13.941701725997845,12.776761783980586,11.785308306364618,43.76637001078751,14.204099244875943,12.841035598705506,50.801510248112194,6.388888888888889,12.309493362512628,1,11,2093,5.080097087378641,52,183,0,3,115,11,1,1,2,18,18.0,1,1.6529126213592233,681,16,0.5364077669902912,412,22.88888888888889,221
../autoCleanTxt/34_cancer_immunotherapy2.txt,13.120706666666663,12.907363084,11.743753333333334,53.036366666666694,15.533333333333331,11.037400000000002,52.43333333333334,6.583333333333333,13.606601717798213,1,1,1281,5.124,45,112,0,2,79,5,1,0,3,12,12.0,0,1.568,392,4,0.54,250,20.833333333333332,135
../autoCleanTxt/36_cancer_immunotherapy2.txt,14.100815307820298,12.318781690515806,12.763293317803662,58.70162129783695,15.60601663893511,11.04383627287854,49.66396006655574,6.16,13.392304845413264,5,9,3000,4.9916805324459235,90,302,0,0,154,11,1,2,1,25,25.0,1,1.4625623960066556,879,17,0.49916805324459235,601,24.04,300
../autoCleanTxt/38_cancer_immunotherapy2.txt,15.872426566244435,12.461968485039375,12.018143272851763,49.04776446422462,16.397808969530985,13.276918863402944,54.537829510441625,7.434782608695652,13.529461772445508,4,10,3168,4.988976377952756,85,282,1,0,171,9,1,6,2,23,23.0,1,1.5338582677165353,974,12,0.47874015748031495,635,27.608695652173914,304
../autoCleanTxt/39_cancer_immunotherapy2.txt,12.068529813860557,11.591346088197149,12.616256497353385,59.05891366074246,14.457054720089742,10.19849475935079,46.778175062221756,5.405405405405405,12.781394362547482,1,12,3778,4.900129701686122,118,388,4,1,200,11,1,9,6,37,37.0,1,1.496757457846952,1154,22,0.46303501945525294,771,20.83783783783784,357
